member,Fy,span_ft,w_asd_plf,footnote
800S162-54,50,6,1336.0,e
800S162-54,50,8,752.0,e
800S162-54,50,10,481.0,e
800S162-54,50,12,284.0,e
800S200-54,33,3,2788.0,e
800S200-54,33,4,2091.0,e
800S200-54,33,5,1673.0,e
800S200-54,33,6,1321.0,e
800S200-54,33,8,743.0,e
800S200-54,33,10,476.0,e
800S200-54,33,12,330.0,e
800S200-54,50,3,2788.0,e
800S200-54,50,4,2091.0,e
800S200-54,50,5,1673.0,e
800S200-54,50,6,1394.0,e
800S200-54,50,8,925.0,e
800S200-54,50,10,575.0,e
800S200-54,50,12,332.0,e
800S250-54,33,3,2788.0,e
800S250-54,33,4,2091.0,e
800S250-54,33,5,1673.0,e
800S250-54,33,6,1246.0,e
800S250-54,33,8,701.0,e
800S250-54,33,10,449.0,e
800S250-54,33,12,312.0,e
800S250-54,50,3,2788.0,e
800S250-54,50,4,2091.0,e
800S250-54,50,5,1673.0,e
800S250-54,50,6,1394.0,e
800S250-54,50,8,929.0,e
800S250-54,50,10,595.0,e
800S250-54,50,12,374.0,e
800S137-68,50,3,5627.0,e
800S137-68,50,4,3621.0,e
800S137-68,50,5,2318.0,e
800S137-68,50,6,1610.0,e
800S137-68,50,8,905.0,e
800S137-68,50,10,550.0,e
800S137-68,50,12,318.0,e
800S162-68,50,3,5627.0,e
800S162-68,50,4,4110.0,e
800S162-68,50,5,2631.0,e
800S162-68,50,6,1827.0,e
800S162-68,50,8,1028.0,e
800S162-68,50,10,618.0,e
800S162-68,50,12,358.0,e
800S200-68,50,3,5627.0,e
800S200-68,50,4,4220.0,e
800S200-68,50,5,3176.0,e
800S200-68,50,6,2205.0,e
800S200-68,50,8,1240.0,e
800S200-68,50,10,712.0,e
800S200-68,50,12,412.0,e
800S250-68,50,3,5627.0,e
800S250-68,50,4,4220.0,e
800S250-68,50,5,3268.0,e
800S250-68,50,6,2270.0,e
800S250-68,50,8,1277.0,e
800S250-68,50,10,809.0,e
800S250-68,50,12,468.0,e
800S137-97,50,3,10850.0,e
800S137-97,50,4,6103.0,e
800S137-97,50,5,3906.0,e
800S137-97,50,6,2712.0,e
800S137-97,50,8,1468.0,e
800S137-97,50,10,752.0,e
800S137-97,50,12,435.0,
800S162-97,50,3,12255.0,e
800S162-97,50,4,6894.0,e
800S162-97,50,5,4412.0,e
800S162-97,50,6,3064.0,e
800S162-97,50,8,1659.0,e
800S162-97,50,10,849.0,e
800S162-97,50,12,491.0,
800S200-97,50,3,14283.0,e
800S200-97,50,4,8034.0,e
