member,Fy,span_ft,w_asd_plf,footnote
1600S200-118,50,5,8869.0,e
1600S200-118,50,6,7391.0,e
1600S200-118,50,8,5153.0,e
1600S200-118,50,10,3298.0,e
1600S200-118,50,12,2290.0,e
1600S250-118,50,3,14781.0,e
1600S250-118,50,4,11086.0,e
1600S250-118,50,5,8869.0,e
1600S250-118,50,6,7391.0,e
1600S250-118,50,8,5543.0,e
1600S250-118,50,10,3660.0,e
1600S250-118,50,12,2541.0,e
1600S300-118,50,3,14781.0,e
1600S300-118,50,4,11086.0,e
1600S300-118,50,5,8869.0,e
1600S300-118,50,6,7391.0,e
1600S300-118,50,8,5543.0,e
1600S300-118,50,10,3895.0,e
1600S300-118,50,12,2705.0,e
1600S350-118,50,3,14781.0,e
1600S350-118,50,4,11086.0,e
1600S350-118,50,5,8869.0,e
1600S350-118,50,6,7391.0,e
1600S350-118,50,8,5543.0,e
1600S350-118,50,10,4434.0,e
1600S350-118,50,12,3115.0,e
